Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,101.632,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Area,69.4056,um^2,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Area,143.344,um^2,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,1,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branch Depth,1,,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,2,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branch Level,1,,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,11.8076,°,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branching Angle,72.6899,°,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,4.8357,°,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branching Angle B,97.8586,°,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Length,41.7781,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,28.5308,um,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Length,58.9249,um,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Mean Diameter,0.774338,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.774338,um,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Mean Diameter,0.774338,um,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite No. Spines,0,,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Orientation Angle,-30.5528,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-25.7171,°,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Orientation Angle,67.3058,°,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Position X,98.314,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position X,126.251,um,Dendrite,,Dendrite Position,1,,2,,1,,100000000,600000001,
Dendrite Position X,119.671,um,Dendrite,,Dendrite Position,1,,1,,1,,100000000,600000002,
