Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,245.595,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,38.1239,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,2.05056,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,44.1227,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,13.9969,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,12.1382,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500002,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0.262302,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.975808,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,125.902,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),253.375,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),3.27028,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),3.44382,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),3.39952,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),9.60116,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),3.5906,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),3.26448,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),3.37856,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),9.96047,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),6.46203,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),10.4643,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),6.59382,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),6.60697,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),3.25286,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),9.62543,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),12.6866,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),10.1452,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),9.47206,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),7.07867,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),20.6822,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),6.7059,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),14.1676,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),6.91643,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),14.195,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),6.75326,um^2,Filament,,,,,,,1,,,100000028,
