
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,184.763,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Area,324.918,um^2,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Area,256.939,um^2,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,1,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branch Depth,1,,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branch Level,2,,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,31.7936,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branching Angle,66.1295,°,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,7.78303,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branching Angle B,12.9044,°,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Length,29.406,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,51.7122,um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Length,40.8931,um,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Mean Diameter,2,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,2,um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Mean Diameter,2,um,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite No. Spines,0,,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Orientation Angle,171.71,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,163.926,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Orientation Angle,-175.386,°,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Position X,67.0281,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position X,29.7152,um,Dendrite,,Dendrite Position,1,,1,,1,,100000000,600000001,
Dendrite Position X,33.566,um,Dendrite,,Dendrite Position,1,,2,,1,,100000000,600000002,
Dendrite Position Y,11.9171,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,23.603,um,Dendrite,,Dendrite Position,1,,1,,1,,100000000,600000001,
Dendrite Position Y,12.4517,um,Dendrite,,Dendrite Position,1,,2,,1,,100000000,600000002,
Dendrite Position Z,0.500008,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
