Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,78.069,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,34.5761,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.718709,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-95.304,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,12.5431,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,17.6993,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500002,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0.289217,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.974047,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,14.0272,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),81.4399,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),0.691031,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0.611578,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),0.633793,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0.627702,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),1.39213,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0.659155,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),2.37792,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0.618243,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),1.73895,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0.648183,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),0.682452,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0.633793,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),0.659932,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0.631364,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),0.659155,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),0.639027,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),0.626067,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),1.25675,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),0.61783,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),0.673002,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),0.639028,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),1.79398,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),0.624426,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),2.27138,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),0.643421,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),2.02818,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),0.617829,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),0.628924,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),2.43127,um^2,Filament,,,,,,,1,,,100000031,
Filament Dendrite Area (sum),78.069,um^2,Filament,,,,,,,1,,,100000000,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000001,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000003,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000005,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000007,
