
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,137.766,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,43.8521,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,1,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-26.1723,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,27.5985,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,15.2174,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500003,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.996593,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,34.4414,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),137.766,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),0.942533,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0.975119,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),1.88001,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0.942532,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),0.950944,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),2.30935,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0.945128,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),3.03371,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),3.13427,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),2.18105,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),3.05408,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),0.942531,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),1.92883,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),1.85702,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),1.0874,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),1.78974,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),0.972603,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),1.94626,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),1.05073,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),1.98063,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),0.955445,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),1.92779,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),1.01935,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),2.79447,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),0.952232,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),1.85108,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),0.942533,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),1.97147,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),0.939276,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),1.92004,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),0.985742,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),1.89608,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),1.05306,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),2.64052,um^2,Filament,,,,,,,1,,,100000039,
Filament Area (sum),1.08571,um^2,Filament,,,,,,,1,,,100000040,
Filament Area (sum),0.955444,um^2,Filament,,,,,,,1,,,100000041,
Filament Area (sum),0.980757,um^2,Filament,,,,,,,1,,,100000042,
Filament Area (sum),2.69897,um^2,Filament,,,,,,,1,,,100000043,
Filament Area (sum),1.31583,um^2,Filament,,,,,,,1,,,100000044,
Filament Area (sum),1.93412,um^2,Filament,,,,,,,1,,,100000045,
Filament Area (sum),1.1359,um^2,Filament,,,,,,,1,,,100000046,
Filament Area (sum),2.91879,um^2,Filament,,,,,,,1,,,100000047,
Filament Area (sum),1.02952,um^2,Filament,,,,,,,1,,,100000048,
Filament Area (sum),1.88156,um^2,Filament,,,,,,,1,,,100000049,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000050,
Filament Area (sum),1.89834,um^2,Filament,,,,,,,1,,,100000051,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000052,
Filament Area (sum),1.84964,um^2,Filament,,,,,,,1,,,100000053,
Filament Area (sum),1.0629,um^2,Filament,,,,,,,1,,,100000054,
Filament Area (sum),1.70241,um^2,Filament,,,,,,,1,,,100000055,
Filament Area (sum),1.06635,um^2,Filament,,,,,,,1,,,100000056,
Filament Area (sum),1.91331,um^2,Filament,,,,,,,1,,,100000057,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000058,
Filament Area (sum),0.939276,um^2,Filament,,,,,,,1,,,100000059,
Filament Area (sum),2.30592,um^2,Filament,,,,,,,1,,,100000060,
Filament Area (sum),1.70543,um^2,Filament,,,,,,,1,,,100000061,
Filament Area (sum),2.68726,um^2,Filament,,,,,,,1,,,100000062,
Filament Area (sum),1.26059,um^2,Filament,,,,,,,1,,,100000063,
Filament Area (sum),2.59154,um^2,Filament,,,,,,,1,,,100000064,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000065,
Filament Area (sum),2.35934,um^2,Filament,,,,,,,1,,,100000066,
Filament Area (sum),1.24803,um^2,Filament,,,,,,,1,,,100000067,
Filament Area (sum),2.59491,um^2,Filament,,,,,,,1,,,100000068,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000069,
Filament Dendrite Area (sum),137.766,um^2,Filament,,,,,,,1,,,100000000,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000001,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000003,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000005,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000007,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000009,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000011,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
