
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,77.5429,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,50.2817,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.490888,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-8.70966,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,24.0938,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,9.19466,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500003,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.98675,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,9.51621,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),77.5429,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),1.12373,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),1.69855,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0.576658,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),1.73096,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0.567226,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),1.14323,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),1.69552,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),1.182,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0.592047,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),2.24062,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),1.18337,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),0.563248,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),1.1122,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),1.77546,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),1.17286,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),0.570545,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),0.610738,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),1.21791,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),2.21513,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),1.16098,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),0.611769,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),2.05095,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),0.565319,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),1.73339,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),1.16095,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),1.14222,um^2,Filament,,,,,,,1,,,100000039,
Filament Area (sum),0.554397,um^2,Filament,,,,,,,1,,,100000040,
Filament Area (sum),1.18593,um^2,Filament,,,,,,,1,,,100000041,
Filament Area (sum),0.593715,um^2,Filament,,,,,,,1,,,100000042,
Filament Area (sum),1.13735,um^2,Filament,,,,,,,1,,,100000043,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000044,
Filament Area (sum),1.18133,um^2,Filament,,,,,,,1,,,100000045,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000046,
Filament Area (sum),1.69715,um^2,Filament,,,,,,,1,,,100000047,
Filament Area (sum),0.563408,um^2,Filament,,,,,,,1,,,100000048,
Filament Area (sum),1.12187,um^2,Filament,,,,,,,1,,,100000049,
Filament Area (sum),0.563408,um^2,Filament,,,,,,,1,,,100000050,
Filament Area (sum),0.576035,um^2,Filament,,,,,,,1,,,100000051,
Filament Area (sum),0.563408,um^2,Filament,,,,,,,1,,,100000052,
Filament Area (sum),0.623993,um^2,Filament,,,,,,,1,,,100000053,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000054,
Filament Area (sum),1.11953,um^2,Filament,,,,,,,1,,,100000055,
Filament Area (sum),0.562928,um^2,Filament,,,,,,,1,,,100000056,
