Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,139.439,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,67.9322,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.653371,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-122.612,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,23.6775,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,30.7172,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500003,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.931967,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,22.7764,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),139.439,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),1.80637,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0.639271,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),1.16449,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0.627271,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),0.617105,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0.649889,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),1.29569,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0.642217,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),0.686068,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0.643318,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),0.625009,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),1.30353,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0.622134,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),1.37968,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),0.610182,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),0.614037,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),0.644857,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),0.617563,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000022,
