
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,160.187,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,70.9456,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.718708,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-77.6662,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,8.84414,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,40.5901,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500001,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0.140953,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.981651,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,28.782,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),163.653,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),2.01937,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0.764646,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),0.755545,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0.738479,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),0.739382,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0.782423,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),1.49173,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0.828765,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),1.55714,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0.779862,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),3.10825,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0.852457,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),2.30507,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0.773746,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),1.46639,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),0.81344,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),1.49099,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),0.794683,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),1.97689,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),2.01889,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),0.803545,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),1.87112,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),0.755874,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),2.21659,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),0.81344,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),3.59888,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),1.83658,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),2.16606,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),0.907481,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),2.05249,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),0.800844,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),0.762818,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),0.832616,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),1.54991,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),0.763003,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),1.90459,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),0.755333,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),2.14989,um^2,Filament,,,,,,,1,,,100000039,
Filament Area (sum),0.786415,um^2,Filament,,,,,,,1,,,100000040,
Filament Area (sum),1.47376,um^2,Filament,,,,,,,1,,,100000041,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000042,
Filament Area (sum),2.44575,um^2,Filament,,,,,,,1,,,100000043,
Filament Area (sum),0.817361,um^2,Filament,,,,,,,1,,,100000044,
Filament Area (sum),1.44774,um^2,Filament,,,,,,,1,,,100000045,
Filament Area (sum),0.861958,um^2,Filament,,,,,,,1,,,100000046,
Filament Area (sum),1.55108,um^2,Filament,,,,,,,1,,,100000047,
Filament Area (sum),0.746078,um^2,Filament,,,,,,,1,,,100000048,
Filament Area (sum),2.42375,um^2,Filament,,,,,,,1,,,100000049,
Filament Area (sum),0.743086,um^2,Filament,,,,,,,1,,,100000050,
Filament Area (sum),0.756167,um^2,Filament,,,,,,,1,,,100000051,
Filament Area (sum),0.851726,um^2,Filament,,,,,,,1,,,100000052,
Filament Area (sum),0.760283,um^2,Filament,,,,,,,1,,,100000053,
Filament Area (sum),0.741483,um^2,Filament,,,,,,,1,,,100000054,
Filament Area (sum),1.59242,um^2,Filament,,,,,,,1,,,100000055,
Filament Area (sum),0.787736,um^2,Filament,,,,,,,1,,,100000056,
Filament Area (sum),2.41051,um^2,Filament,,,,,,,1,,,100000057,
Filament Area (sum),4.85695,um^2,Filament,,,,,,,1,,,100000058,
Filament Area (sum),2.64224,um^2,Filament,,,,,,,1,,,100000059,
Filament Area (sum),6.66485,um^2,Filament,,,,,,,1,,,100000060,
Filament Area (sum),2.38119,um^2,Filament,,,,,,,1,,,100000061,
Filament Area (sum),4.65812,um^2,Filament,,,,,,,1,,,100000062,
Filament Area (sum),2.35709,um^2,Filament,,,,,,,1,,,100000063,
Filament Area (sum),1.60532,um^2,Filament,,,,,,,1,,,100000064,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000065,
Filament Area (sum),1.50509,um^2,Filament,,,,,,,1,,,100000066,
Filament Area (sum),0.843841,um^2,Filament,,,,,,,1,,,100000067,
Filament Area (sum),0.812217,um^2,Filament,,,,,,,1,,,100000068,
Filament Area (sum),0.826831,um^2,Filament,,,,,,,1,,,100000069,
Filament Area (sum),1.38478,um^2,Filament,,,,,,,1,,,100000070,
Filament Area (sum),0.866391,um^2,Filament,,,,,,,1,,,100000071,
Filament Area (sum),1.499,um^2,Filament,,,,,,,1,,,100000072,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000073,
Filament Area (sum),1.6345,um^2,Filament,,,,,,,1,,,100000074,
Filament Area (sum),0.812217,um^2,Filament,,,,,,,1,,,100000075,
Filament Area (sum),0.897122,um^2,Filament,,,,,,,1,,,100000076,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000077,
Filament Area (sum),0.816081,um^2,Filament,,,,,,,1,,,100000078,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000079,
Filament Area (sum),0.849713,um^2,Filament,,,,,,,1,,,100000080,
Filament Area (sum),0.92607,um^2,Filament,,,,,,,1,,,100000081,
