Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,93.5903,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,60.6874,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.490888,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,-66.8358,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,27.7647,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,30.0683,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500003,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.898028,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,11.4856,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),93.5903,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),3.2895,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),1.6042,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),3.14811,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),1.85959,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),3.32838,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),5.37469,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),3.06816,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),4.90839,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),1.83848,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),3.4933,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),1.64336,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),5.03426,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),3.6371,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),3.05281,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),1.88167,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),1.60569,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),1.59613,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),1.60807,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),1.69289,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),1.60807,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),3.31678,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),3.36608,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),3.18776,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),1.64197,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),1.62699,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),1.6114,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),2.98491,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),1.74629,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),3.38566,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),1.62275,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),1.7149,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),3.06517,um^2,Filament,,,,,,,1,,,100000039,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000040,
Filament Area (sum),1.64336,um^2,Filament,,,,,,,1,,,100000041,
Filament Area (sum),1.70416,um^2,Filament,,,,,,,1,,,100000042,
Filament Area (sum),1.64336,um^2,Filament,,,,,,,1,,,100000043,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000044,
