Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,28.0754,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Area,14.3608,um^2,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Area,27.2533,um^2,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,1,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branch Depth,1,,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branch Level,2,,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,3.50476,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branching Angle,85.8627,°,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,9.93349,°,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Branching Angle B,39.9994,°,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Length,29.9345,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,15.3118,um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Length,29.0581,um,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite Mean Diameter,0.298541,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,0.298541,um,Dendrite,,,1,,1,,1,,100000000,600000001,
Dendrite Mean Diameter,0.298541,um,Dendrite,,,1,,2,,1,,100000000,600000002,
Dendrite No. Spines,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
