Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,249.092,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,38.6667,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,2.05056,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,7.02119,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,18.2077,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,5.51747,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500002,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.997589,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,127.694,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),249.092,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),6.47411,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),3.27715,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),6.59079,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),7.60658,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),3.79406,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),6.59017,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),3.67835,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),9.28429,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),3.42235,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),6.83825,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),3.26964,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),6.45725,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),5.276,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),3.26061,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),9.63843,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),3.23642,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),8.98357,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),3.25156,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),5.58132,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),3.27114,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),6.38966,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),3.29508,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),6.74988,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),3.37172,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),3.59321,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),8.36203,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),6.8574,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),6.66293,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),3.22882,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),5.8961,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),3.24702,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),3.41803,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),6.67187,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),10.5583,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),3.39061,um^2,Filament,,,,,,,1,,,100000038,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000039,
Filament Area (sum),6.98834,um^2,Filament,,,,,,,1,,,100000040,
Filament Area (sum),5.17747,um^2,Filament,,,,,,,1,,,100000041,
Filament Area (sum),3.32478,um^2,Filament,,,,,,,1,,,100000042,
Filament Area (sum),6.49725,um^2,Filament,,,,,,,1,,,100000043,
Filament Area (sum),10.8864,um^2,Filament,,,,,,,1,,,100000044,
Filament Area (sum),6.74587,um^2,Filament,,,,,,,1,,,100000045,
Filament Area (sum),3.47081,um^2,Filament,,,,,,,1,,,100000046,
Filament Area (sum),8.83098,um^2,Filament,,,,,,,1,,,100000047,
Filament Area (sum),3.27714,um^2,Filament,,,,,,,1,,,100000048,
Filament Area (sum),9.49232,um^2,Filament,,,,,,,1,,,100000049,
Filament Area (sum),3.27265,um^2,Filament,,,,,,,1,,,100000050,
Filament Area (sum),6.35215,um^2,Filament,,,,,,,1,,,100000051,
Filament Area (sum),3.37027,um^2,Filament,,,,,,,1,,,100000052,
Filament Area (sum),9.27192,um^2,Filament,,,,,,,1,,,100000053,
Filament Area (sum),3.38772,um^2,Filament,,,,,,,1,,,100000054,
Filament Area (sum),3.45236,um^2,Filament,,,,,,,1,,,100000055,
Filament Area (sum),3.23642,um^2,Filament,,,,,,,1,,,100000056,
Filament Area (sum),3.37027,um^2,Filament,,,,,,,1,,,100000057,
Filament Area (sum),3.34393,um^2,Filament,,,,,,,1,,,100000058,
Filament Area (sum),3.29956,um^2,Filament,,,,,,,1,,,100000059,
Filament Area (sum),3.22882,um^2,Filament,,,,,,,1,,,100000060,
Filament Area (sum),3.37173,um^2,Filament,,,,,,,1,,,100000061,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000062,
Filament Area (sum),6.51161,um^2,Filament,,,,,,,1,,,100000063,
Filament Area (sum),3.23641,um^2,Filament,,,,,,,1,,,100000064,
Filament Dendrite Area (sum),249.092,um^2,Filament,,,,,,,1,,,100000000,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000001,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000003,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000005,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000007,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000009,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000011,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000013,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000015,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000016,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000017,
