Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,255.192,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,39.6136,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,2.05056,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Orientation Angle,52.0332,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Position X,11.4446,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Y,15.4682,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Position Z,0.500001,um,Dendrite,,Dendrite Position,0,,1,,1,,100000000,600000000,
Dendrite Spine Density,0,1/10um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Straightness,0.993403,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time,0,s,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Time Index,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Volume,130.822,um^3,Dendrite,,,0,,1,,1,,100000000,600000000,
Filament Area (sum),255.192,um^2,Filament,,,,,,,1,,,100000000,
Filament Area (sum),6.89881,um^2,Filament,,,,,,,1,,,100000001,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Area (sum),3.27689,um^2,Filament,,,,,,,1,,,100000003,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Area (sum),3.31751,um^2,Filament,,,,,,,1,,,100000005,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Area (sum),6.15005,um^2,Filament,,,,,,,1,,,100000007,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Area (sum),5.9771,um^2,Filament,,,,,,,1,,,100000009,
Filament Area (sum),3.35582,um^2,Filament,,,,,,,1,,,100000010,
Filament Area (sum),3.31934,um^2,Filament,,,,,,,1,,,100000011,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Area (sum),6.36239,um^2,Filament,,,,,,,1,,,100000013,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Area (sum),4.07059,um^2,Filament,,,,,,,1,,,100000015,
Filament Area (sum),3.31015,um^2,Filament,,,,,,,1,,,100000016,
Filament Area (sum),6.4943,um^2,Filament,,,,,,,1,,,100000017,
Filament Area (sum),3.25826,um^2,Filament,,,,,,,1,,,100000018,
Filament Area (sum),6.28157,um^2,Filament,,,,,,,1,,,100000019,
Filament Area (sum),3.31016,um^2,Filament,,,,,,,1,,,100000020,
Filament Area (sum),3.42227,um^2,Filament,,,,,,,1,,,100000021,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000022,
Filament Area (sum),6.95326,um^2,Filament,,,,,,,1,,,100000023,
Filament Area (sum),3.40802,um^2,Filament,,,,,,,1,,,100000024,
Filament Area (sum),6.91869,um^2,Filament,,,,,,,1,,,100000025,
Filament Area (sum),3.2806,um^2,Filament,,,,,,,1,,,100000026,
Filament Area (sum),9.37843,um^2,Filament,,,,,,,1,,,100000027,
Filament Area (sum),3.27689,um^2,Filament,,,,,,,1,,,100000028,
Filament Area (sum),6.58422,um^2,Filament,,,,,,,1,,,100000029,
Filament Area (sum),3.29172,um^2,Filament,,,,,,,1,,,100000030,
Filament Area (sum),3.37752,um^2,Filament,,,,,,,1,,,100000031,
Filament Area (sum),3.24516,um^2,Filament,,,,,,,1,,,100000032,
Filament Area (sum),3.58048,um^2,Filament,,,,,,,1,,,100000033,
Filament Area (sum),0,um^2,Filament,,,,,,,1,,,100000034,
Filament Area (sum),3.28061,um^2,Filament,,,,,,,1,,,100000035,
Filament Area (sum),3.31016,um^2,Filament,,,,,,,1,,,100000036,
Filament Area (sum),3.32667,um^2,Filament,,,,,,,1,,,100000037,
Filament Area (sum),3.27503,um^2,Filament,,,,,,,1,,,100000038,
Filament Dendrite Area (sum),255.192,um^2,Filament,,,,,,,1,,,100000000,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000001,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000002,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000003,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000004,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000005,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000006,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000007,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000008,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000009,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000010,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000011,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000012,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000013,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000014,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000015,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000016,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000017,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000018,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000019,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,1,,,100000020,
